Step	Time	Kinetic energy	Potential energy	Total energy	Temperature
0	0	11.168060025	-41.9385225519	-30.7704625269	100
200	2	13.7411177499	-42.2715253164	-28.5304075665	123.039433161
400	4	13.6111320319	-42.0838037707	-28.4726717388	121.875527185
600	6	13.6003585937	-41.9367860397	-28.336427446	121.779060671
800	8	13.3876189503	-41.6700714641	-28.2824525138	119.874167226
1000	10	13.4907745224	-41.8025595597	-28.3117850373	120.797833215
1200	12	13.371647418	-41.607088437	-28.235441019	119.731156423
1400	14	13.6026507038	-41.6898184973	-28.0871677935	121.79958447
1600	16	13.2905699148	-41.5319721924	-28.2414022776	119.005179817
1800	18	13.442594134	-41.3977543746	-27.9551602405	120.366420882
2000	20	13.4801006988	-42.039620416	-28.5595197172	120.702258661
2200	22	13.5357448547	-41.7938554407	-28.258110586	121.200502365
2400	24	13.2795584876	-41.6838839301	-28.4043254425	118.906582324
2600	26	13.2576511893	-41.3728504765	-28.1151992872	118.710422039
2800	28	13.2562328345	-41.8488382491	-28.5926054147	118.697721939
3000	30	13.3398644467	-41.8331294458	-28.4932649991	119.44656831
3200	32	13.4369722474	-41.971774986	-28.5348027386	120.31608191
3400	34	13.4460781851	-41.6709229198	-28.2248447347	120.397617446
3600	36	13.2656326861	-41.7688753882	-28.5032427021	118.781889213
3800	38	13.3660545262	-41.7471837677	-28.3811292415	119.681077074
4000	40	13.5486770745	-41.6311334424	-28.0824563679	121.316298839
4200	42	13.5249052151	-42.0215984041	-28.4966931889	121.103443076
4400	44	13.0568545261	-41.3727170964	-28.3158625703	116.912467311
4600	46	13.409946922	-41.6546129293	-28.2446660073	120.074094265
4800	48	13.4014715369	-41.6330128075	-28.2315412706	119.998204763
5000	50	13.2980052211	-41.7275526402	-28.4295474191	119.071756342
5200	52	13.6185944998	-41.9779845134	-28.3593900136	121.942346919
5400	54	13.383685175	-41.6333413154	-28.2496561404	119.838943782
5600	56	13.5777341723	-42.0425411661	-28.4648069938	121.57647919
5800	58	13.1142055114	-41.2701985339	-28.1559930225	117.425994147
6000	60	13.310073282	-41.855599932	-28.54552665	119.179815046
6200	62	13.1965898087	-41.2588430652	-28.0622532566	118.163671928
6400	64	13.1962021195	-41.5629399739	-28.3667378545	118.160200517
6600	66	13.3050134969	-41.531600412	-28.2265869151	119.13450919
6800	68	13.5331608158	-42.1001427389	-28.566981923	121.177364605
7000	70	13.5403340615	-41.7938242902	-28.2534902287	121.241594612
7200	72	13.3167722499	-41.6118985396	-28.2951262896	119.239798319
7400	74	13.5373519936	-41.6255388074	-28.0881868138	121.214892858
7600	76	13.4244862035	-41.6542303655	-28.229744162	120.204280542
7800	78	13.2460417346	-41.4423434117	-28.1963016771	118.606469744
8000	80	13.3463311756	-41.8249466946	-28.478615519	119.50447209
8200	82	13.2305003719	-41.5179815894	-28.2874812175	118.467310726
8400	84	13.1595048153	-41.4844289549	-28.3249241396	117.831608943
8600	86	13.3628855051	-41.5618472827	-28.1989617776	119.652701321
8800	88	13.4578217144	-41.5419100664	-28.0840883521	120.502770259
9000	90	13.39406314	-41.7702880875	-28.3762249475	119.931869187
9200	92	13.3262895727	-41.4916645619	-28.1653749892	119.325017441
9400	94	13.1551427059	-41.6239390198	-28.4687963139	117.792550151
9600	96	13.3458031803	-41.5837810148	-28.2379778345	119.499744364
9800	98	13.5409981177	-41.4838827973	-27.9428846796	121.247540641
10000	100	13.501772798	-41.8245795748	-28.3228067768	120.896312948
